2026-02-14 22:30:38.984 UTC [593] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:30:38.984 UTC [593] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:31:39.963 UTC [596] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:31:39.963 UTC [596] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:32:40.917 UTC [599] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:32:40.917 UTC [599] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:33:41.839 UTC [602] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:33:41.839 UTC [602] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:34:42.782 UTC [605] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:34:42.782 UTC [605] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:35:43.734 UTC [608] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:35:43.734 UTC [608] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:36:44.706 UTC [611] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:36:44.706 UTC [611] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:45.190 UTC [614] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:45.190 UTC [614] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:46.402 UTC [615] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:46.402 UTC [615] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:47.563 UTC [616] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:47.563 UTC [616] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:48.959 UTC [617] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:48.959 UTC [617] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:50.741 UTC [618] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:50.741 UTC [618] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:53.353 UTC [619] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:53.353 UTC [619] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:37:57.513 UTC [620] FATAL:  password authentication failed for user "netguard"
